CustomerID,Tenure_Months,MonthlyCharges,ContractType,InternetService,PaperlessBilling,PaymentMethod,TotalCharges,Churn,MonthlyToTotalRatio,IsNewCustomer
CUST-0001,52,105.57,Month-to-month,Fiber optic,Yes,Mailed check,5500.21,1,0.019190323583357115,0
CUST-0002,15,103.02,Two year,Fiber optic,No,Electronic check,1547.29,1,0.06653792248222232,0
CUST-0003,61,59.72,Month-to-month,Fiber optic,Yes,Electronic check,3659.24,0,0.016315869997595787,0
CUST-0004,21,86.81,One year,DSL,No,Credit card,1829.23,0,0.04743119717194014,0
CUST-0005,24,40.5,One year,No,No,Bank transfer,964.43,0,0.041950219073366275,0
CUST-0006,3,49.31,One year,Fiber optic,Yes,Electronic check,145.55,0,0.3364721937905152,1
CUST-0007,22,109.63,Month-to-month,DSL,No,Mailed check,2389.25,1,0.04586549524108357,0
CUST-0008,53,21.3,Month-to-month,Fiber optic,Yes,Electronic check,1119.88,0,0.019002926272214688,0
CUST-0009,2,28.55,One year,DSL,No,Electronic check,53.29,0,0.525879535826119,1
CUST-0010,30,40.79,One year,DSL,Yes,Credit card,1229.16,0,0.0331582883527346,0
CUST-0011,38,22.65,Month-to-month,Fiber optic,Yes,Credit card,853.2,0,0.02651603839850152,0
CUST-0012,2,38.14,One year,DSL,No,Mailed check,63.82,0,0.5883986423943228,1
CUST-0013,64,78.3,Month-to-month,Fiber optic,Yes,Credit card,4992.32,0,0.015680949748864484,0
CUST-0014,60,62.14,One year,Fiber optic,No,Electronic check,3722.44,0,0.016688868358292332,0
CUST-0015,21,109.27,Month-to-month,DSL,Yes,Electronic check,2314.18,1,0.04719719417064764,0
CUST-0016,33,101.74,Two year,No,Yes,Credit card,3360.13,0,0.030269581956068343,0
CUST-0017,58,54.18,Month-to-month,DSL,Yes,Electronic check,3151.84,0,0.017184506667004985,0
CUST-0018,22,45.94,Month-to-month,DSL,Yes,Electronic check,1001.68,1,0.04581720987752822,0
CUST-0019,49,57.97,Month-to-month,DSL,Yes,Mailed check,2824.8,0,0.020514544553754687,0
CUST-0020,59,79.03,Month-to-month,DSL,Yes,Credit card,4650.56,0,0.01698999905408078,0
CUST-0021,42,46.81,Two year,DSL,Yes,Electronic check,1965.05,0,0.023809160499478652,0
CUST-0022,60,82.41,Two year,Fiber optic,Yes,Credit card,4924.66,0,0.01673075283312287,0
CUST-0023,15,60.94,Month-to-month,No,No,Mailed check,904.03,1,0.06733478448228236,0
CUST-0024,62,75.2,Month-to-month,DSL,No,Credit card,4656.54,0,0.01614586240805232,0
CUST-0025,62,63.61,One year,Fiber optic,Yes,Electronic check,3930.61,0,0.01617912254776033,0
CUST-0026,47,49.45,Two year,Fiber optic,No,Credit card,2302.91,0,0.02146351202954977,0
CUST-0027,62,114.85,One year,No,Yes,Electronic check,7123.6,0,0.01612020323948011,0
